dir_bin,cres WS Bin,Mean WS Difference
107.5,0.8,10.1
12.5,7.7,15.900000000000002
12.5,10.3,11.0
342.5,16.7,10.7
2.5,17.4,10.8
332.5,17.5,10.100000000000001
7.5,17.8,10.899999999999999
97.5,23.6,-18.400000000000002
112.5,23.6,10.699999999999996
87.5,24.2,10.7
162.5,25.6,10.600000000000001
47.5,26.0,-18.0
92.5,26.0,10.149999999999999
7.5,26.4,11.0
217.5,26.4,-12.099999999999998
87.5,26.5,11.399999999999999
92.5,26.6,11.699999999999996
207.5,26.6,-11.100000000000001
342.5,26.8,10.7
97.5,27.6,12.0
92.5,27.7,13.2
112.5,28.2,-12.899999999999999
97.5,28.5,-21.7
102.5,28.8,-10.8
47.5,29.2,-21.4
32.5,29.5,-18.2
337.5,29.6,10.699999999999996
272.5,30.2,10.099999999999998
202.5,31.0,-10.85
12.5,31.6,10.899999999999999
32.5,31.6,-18.400000000000002
27.5,32.2,-13.500000000000004
27.5,32.6,-11.700000000000003
67.5,32.6,-23.5
117.5,32.8,-16.699999999999996
202.5,32.8,-10.999999999999996
92.5,33.4,-11.099999999999998
262.5,33.6,10.299999999999997
7.5,33.7,11.699999999999996
7.5,33.8,10.800000000000004
12.5,33.8,10.100000000000005
12.5,34.0,12.75
17.5,34.0,-17.4
37.5,34.0,-10.5
12.5,34.3,11.100000000000001
12.5,34.4,13.300000000000004
2.5,34.5,12.100000000000001
147.5,34.5,11.600000000000001
32.5,34.6,-14.8
7.5,35.2,11.899999999999999
287.5,35.2,10.5
7.5,35.4,17.200000000000003
152.5,35.6,-14.0
7.5,36.2,11.099999999999994
77.5,36.2,12.399999999999999
7.5,36.4,11.0
197.5,36.5,-11.2
7.5,36.8,12.300000000000004
7.5,37.0,16.200000000000003
342.5,37.8,-25.499999999999996
7.5,38.0,12.899999999999999
7.5,38.2,10.359999999999998
7.5,38.6,10.799999999999997
147.5,38.6,13.899999999999999
7.5,39.0,11.0
147.5,39.0,10.100000000000001
7.5,39.2,11.5
207.5,40.0,-11.600000000000001
217.5,40.0,-10.100000000000001
7.5,40.2,13.099999999999994
272.5,40.2,-18.1
212.5,40.4,-12.399999999999999
2.5,40.6,10.699999999999996
7.5,40.8,10.300000000000004
7.5,41.4,13.0
2.5,42.2,11.0
217.5,42.6,-15.3
